Name,IATA,Country
1Time Airline,1T,South Africa
40-Mile Air,Q5,United States
Ansett Australia,AN,Australia
Abacus International,1B,Singapore
Aigle Azur,ZI,France
Aloha Airlines,AQ,United States
American Airlines,AA,United States
Asiana Airlines,OZ,Republic of Korea
Askari Aviation,4K,Pakistan
Afriqiyah Airways,8U,Libya
Allegiant Air,G4,United States
ABSA - Aerolinhas Brasileiras,M3,Brazil
Astral Aviation,8V,Kenya
Air Tindi,8T,Canadian Territories
Ada Air,ZY,Albania
Adria Airways,JP,Slovenia
Air Europa,UX,Spain
Aero Benin,EM,Benin
Aegean Airlines,A3,Greece
Air Europe,PE,Italy
Alaska Central Express,KO,United States
ACES Colombia,,Colombia
Astraeus,5W,United Kingdom
Aerosvit Airlines,VV,Ukraine
Air Italy,I9,Italy
Alliance Airlines,QQ,Australia
Ariana Afghan Airlines,FG,Afghanistan
Aeroflot Russian Airlines,SU,Russia
Air Bosna,JA,Bosnia and Herzegovina
Air France,AF,France
Air Caledonie International,SB,France
Air Salone,2O,Sierra Leone
Air Cargo Carriers,2Q,United States
Air Namibia,SW,Namibia
Aerolitoral,5D,Mexico
Air Glaciers,7T,Switzerland
Aviogenex,,Serbia
Aeroper,PL,Peru
Atlas Blue,8A,Morocco
Azerbaijan Airlines,J2,Azerbaijan
Avies,U3,Estonia
Airblue,ED,Pakistan
Airlift International,,United States
Air Berlin,AB,Germany
Air India Limited,AI,India
Air Bourbon,ZB,Reunion
Air Atlanta Icelandic,CC,Iceland
Air Tahiti Nui,TN,France
Arkia Israel Airlines,IZ,Israel
Air Jamaica,JM,Jamaica
Air One,AP,Italy
Air Sahara,S2,India
Air Malta,KM,Malta
Air Japan,NQ,Japan
Air Korea Co. Ltd.,,Republic of Korea
Air Kiribati,4A,Kiribati
America West Airlines,HP,United States
Air Wisconsin,ZW,United States
Tatarstan Airlines,U9,Russia
Allegheny Commuter Airlines,,United States
Air Sunshine,,United States
Air Libert,VD,France
Air Malawi,QM,Malawi
Air Sicilia,BM,Italy
ATA Airlines,,United States
Air Macau,NX,Macao
AMC Airlines,,Egypt
Air Seychelles,HM,Seychelles
AeroMéxico,AM,Mexico
All Nippon Airways,NH,Japan
Air Nostrum,YW,Spain
Air Niugini,PX,Papua New Guinea
Air Arabia,G9,United Arab Emirates
Air Canada,AC,Canada
Air Baltic,BT,Latvia
Air Nippon,EL,Japan
Airnorth,TL,Australia
Air North Charter - Canada,4N,Canada
Air New Zealand,NZ,New Zealand
Alitalia Express,XM,Italy
Aero Flight,GV,Germany
Arrow Air,JW,United States
Aerocondor,2B,Portugal
Aires,4C, S.A.
Aerolineas Argentinas,AR,Argentina
Alaska Airlines,AS,ALASKA
Air Sinai,4D,Egypt
Atlantic Southeast Airlines,EV,United States
Astrakhan Airlines,OB,Russia
Air Tanzania,TC,Tanzania
Air Burkina,2J,Burkina Faso
Airlines Of Tasmania,FO,Australia
Air Saint Pierre,PJ,France
Austrian Airlines,OS,Austria
Air Southwest,,United Kingdom
Augsburg Airways,IQ,Germany
ATUR,,Ecuador
Abu Dhabi Amiri Flight,MO,United Arab Emirates
Aeroflot-Nord,5N,Russia
Aurigny Air Services,GR,United Kingdom
Austral Lineas Aereas,AU,Argentina
Avianca - Aerovias Nacionales de Colombia,AV,AVIANCA
Air Vanuatu,NF,Vanuatu
Air Bangladesh,B9,Bangladesh
Air Mediterranee,DR,France
Air Moorea,,France
Aeroline GmbH,7E,Germany
Air Wales,6G,United Kingdom
Air Caraïbes,TX,France
Air India Express,IX,India
Air Exel,XT,Netherlands
AirAsia,AK,Malaysia
Atlant-Soyuz Airlines,3G,Russia
Alitalia,AZ,Italy
Amaszonas,Z8,Bolivia
Air Zimbabwe,UM,Zimbabwe
Aserca Airlines,R7,Venezuela
Rossiya-Russian Airlines,FV,Russia
American Eagle Airlines,MQ,United States
AD Aviation,,United Kingdom
Air Ivoire,VU,Ivory Coast
Air Botswana,BP,Botswana
Air Foyle,GS,United Kingdom
Air Tahiti,VT,French Polynesia
Air VIA,VL,Bulgaria
Africa West,FK,Togo
ATRAN Cargo Airlines,V8,Russian Federation
Air China,CA,China
Aero Condor Peru,Q6,Peru
Air Chathams,CV,New Zealand
Air Marshall Islands,CW,Marshall Islands
Access Air,ZA,United States
Air Algerie,AH,Algeria
Adam Air,KI,Indonesia
Air Dolomiti,EN,Italy
Aeroflot-Don,D9,Russia
Air Madrid,NM,Spain
Aer Lingus,EI,Ireland
Air Finland,OF,Finland
Airfix Aviation,,Finland
Air Pacific,FJ,Fiji
Atlantic Airways,RC,Faroe Islands
Air Florida,QH,United States
Air Iceland,NY,Iceland
Air Philippines,2P,Philippines
Air Guinee Express,2U,Guinea
Air Greenland,GL,Denmark
Atlas Air,5Y,United States
Air Guyane,GG,French Guiana
Air Bagan,W9,Myanmar
Air Canada Jazz,QK,Canada
Atlasjet,KK,Turkey
Air Koryo,JS,Democratic People's Republic of Korea
Air Astana,KC,Kazakhstan
Albanian Airlines,LV,Albania
Air Alfa,,Turkey
Aerolane,XL,Ecuador
Atlantis European Airways,TD,Armenia
Air Luxor,LK,Portugal
Air Mauritius,MK,Mauritius
Air Madagascar,MD,Madagascar
Air Moldova,9U,Moldova
Air Plus Comet,A7,Spain
Astair,8D,Russian Federation
Aero Contractors,AJ,Nigeria
Aeropelican Air Services,OT,Australia
Aer Arann,RE,Ireland
Air Austral,UU,France
Asian Spirit,6K,Philippines
Air Afrique,RK,Ivory Coast
Airlinair,A5,France
Aero Lanka,QL,Sri Lanka
Air Salone,20,Sierra Leone
Armavia,U8,Armenia
AeroRep,P5,Colombia
Aero-Service,BF,Republic of the Congo
Aerosur,5L,Bolivia
Aeronorte,,Portugal
Avient Aviation,Z3,Zimbabwe
Aircompany Yakutia,R3,Russia
Aeromar,VW,Mexico
Arkefly,OR,Netherlands
Airlines PNG,CG,Papua New Guinea
AirTran Airways,FL,United States
Air Transat,TS,Canada
Avialeasing Aviation Company,EC,Uzbekistan
Tyrolean Airways,VO,Austria
Aerolineas Galapagos (Aerogal),2K,Ecuador
Alrosa Mirny Air Enterprise,6R,Russia
British Airways,BA,United Kingdom
Biman Bangladesh Airlines,BG,Bangladesh
Belair Airlines,4T,Switzerland
Bahamasair,UP,Bahamas
Balkan Bulgarian Airlines,LZ,
British International Helicopters,BS,United Kingdom
BF-Lento OY,,Finland
Bangkok Airways,PG,Thailand
Blue1,KF,Finland
Baltic Airlines,,Russia
Bearskin Lake Air Service,JV,Canada
Bellview Airlines,B3,Nigeria
bmi,BD,United Kingdom
bmibaby,WW,United Kingdom
Bemidji Airlines,CH,United States
British Midland Regional,,United Kingdom
Blue Panorama Airlines,BV,Italy
Budapest Aircraft Services/Manx2,,Hungary
Bering Air,8E,United States
Brazilian Air Force,,Brazil
Belavia Belarusian Airlines,B2,Belarus
Metro Batavia,7P,Indonesia
Berjaya Air,J8,Malaysia
Blue Wings,QW,Germany
Brit Air,DB,France
Brussels Airlines,SN,Belgium
Binter Canarias,NT,Spain
Blue Air,0B,Romania
British Mediterranean Airways,KJ,United Kingdom
Bulgaria Air,FB,Bulgaria
Barents AirLink,8N,Sweden
CAL Cargo Air Lines,5C,Israel
Calima Aviacion,XG,Spain
Canadian Airlines,CP,Canada
Canadian North,5T,Canada
Cape Air,9K,United States
Caribbean Airlines,BW,Trinidad and Tobago
Carpatair,V3,Romania
Caspian Airlines,RV,Iran
Cathay Pacific,CX,Hong Kong SAR of China
Cayman Airways,KX,Cayman Islands
Cebu Pacific,5J,Philippines
Central Connect Airlines,,Czech Republic
Centralwings,C0,Poland
Charter Air,,Austria
Chautauqua Airlines,RP,United States
China Airlines,CI,Taiwan
China Eastern Airlines,MU,China
China Southern Airlines,CZ,China
China United Airlines,HR,China
Yunnan Airlines,3Q,China
Cimber Air,QI,Denmark
Cirrus Airlines,C9,Germany
City Airline,CF,Sweden
City Connexion Airlines,G3,Burundi
CityJet,WX,Ireland
BA CityFlyer,CJ,United Kingdom
Click Airways,,Kyrgyzstan
Coastal Air,DQ,United States
Colgan Air,9L,United States
Comair,OH,United States
Comair,MN,South Africa
CommutAir,C5,United States
Comores Airlines,KR,Comoros
Compass Airlines,CP,United States
Condor Flugdienst,DE,Germany
Consorcio Aviaxsa,6A,Mexico
Contact Air,C3,Germany
Continental Airlines,CO,United States
Continental Express,CO,United States
Continental Micronesia,CS,United States
Conviasa,V0,Venezuela
Copa Airlines,CM,Panama
Copterline,,Finland
Corendon Airlines,,Turkey
Corsairfly,SS,France
Corse-Mediterranee,XK,France
Crest Aviation,,United Kingdom
Croatia Airlines,OU,Croatia
Crown Airways,,United States
Cubana de Aviación,CU,Cuba
Cyprus Airways,CY,Cyprus
Cyprus Turkish Airlines,YK,Turkey
Czech Airlines,OK,Czech Republic
DAT Danish Air Transport,DX,Denmark
Daallo Airlines,D3,Djibouti
Dalavia,H8,Russia
Darwin Airline,0D,Switzerland
Delta Aerotaxi,,Italy
Delta Air Lines,DL,United States
Denim Air,,Netherlands
Deutsche Bahn,2A,Germany
Djibouti Airlines,D8,Djibouti
